,node_name,device_uuid,memory_spare,memory_allocating,device_id
0,cc234,GPU-059e05a2-a6fd-776e-65a0-ebd5f92a3781,39.390625,,0
0,cc234,GPU-127228a5-3a07-fe08-d563-0d087da63faa,39.390625,,1
0,cc234,GPU-f40b4c8c-681a-01f4-0ee0-d4a6f04e8c73,39.390625,,2
0,cc234,GPU-f5455550-b48c-c9ff-eb18-c0c1f0b41b3b,39.390625,,3
0,cc225,GPU-040481d1-6b82-67a1-4c67-c9a0e2f825b4,11.76171875,,5
0,cc225,GPU-15bc230f-0e1f-5267-6ca9-c816927cce43,11.76171875,,6
0,cc225,GPU-224c04e4-3318-3d52-fd7c-6da672cc1a50,23.689453125,,0
0,cc225,GPU-4c9f605a-11c6-8817-cd9d-eb59bcd2b31e,11.76171875,,1
0,cc225,GPU-5020e7d6-f7a6-5b35-3f4b-da83b90e7ad9,11.76171875,,2
0,cc225,GPU-5c31989d-db8f-171e-cf94-cb030ee2f658,11.76171875,,3
0,cc225,GPU-baea2e6a-ba01-9901-904b-156d97b1c8bb,23.689453125,,4
0,cc225,GPU-e5ffb270-aa78-05ef-9a9b-7ccc1e81c8f5,11.76171875,,7
0,cc240,GPU-1ab2c197-176f-00d8-fad7-e7f32fd9e25e,44.3837890625,,0
0,cc240,GPU-7a2b56ed-eec1-de10-b054-ab35aefd7c73,44.3837890625,,2
0,cc240,GPU-fdb04dfd-fb20-2e63-1b4d-56b4117e3c32,44.3837890625,,1
0,cc230,GPU-460ff3eb-ea31-5a2d-a71f-e9411117fcbb,31.73828125,,0
0,cc230,GPU-8c9ed561-ce85-7e01-c5bc-d5dcb2e126c0,31.73828125,,1
0,cc230,GPU-d0956c24-0e98-df20-a367-826f121108ca,31.73828125,,2
0,cc230,GPU-d6cd944c-a32f-2dae-498e-e89f6c70ad04,31.73828125,,3
0,cc229,GPU-78010360-09ed-6218-b1dd-e10cf70591b2,31.73828125,,3
0,cc229,GPU-7e3a463e-46c8-5eeb-949f-404d3c2d0f1f,31.73828125,,1
0,cc229,GPU-e3b9f58d-668a-ab08-3d8c-4844aa1d0e84,31.73828125,,0
0,cc229,GPU-ff41550b-dc17-e847-2b24-3396dc87d808,31.73828125,,2
0,cc224,GPU-692abe0d-0a4d-c128-92e7-f1e22faf35af,31.73828125,,1
0,cc224,GPU-7c775533-e3c5-011d-4b04-788eda3acabb,31.73828125,,0
0,cc224,GPU-9d589d1c-f415-ea41-a362-1e29a4939c0d,31.73828125,,3
0,cc224,GPU-ad8d3abb-5efc-9051-0e25-f3f71f1f0e90,31.73828125,,2
0,cc241,GPU-658ac102-8823-91c4-1b62-f66587782953,44.552734375,,0
0,cc241,GPU-9be8ee21-a58a-64d7-d5e1-352fd3c34ddf,32.765625,,2
0,cc241,GPU-e0aa70e5-b56c-1198-f7cd-bb586fefb580,44.552734375,,3
0,cc241,GPU-f006f5bc-6120-ccb3-9f43-e466313ec4a6,44.552734375,,1
0,cc238,GPU-1f504450-e385-aa43-b3e4-1a9414bbb738,40.751953125,,2
0,cc238,GPU-437013ad-bb8e-f003-a0fc-14edafbe816d,44.552734375,,1
0,cc238,GPU-944c117f-0185-6559-e32d-4d2d395c4906,44.298828125,,0
0,cc238,GPU-a0e52d40-095b-94d9-a800-83ea25ea08d7,44.552734375,,3
0,cc239,GPU-0094482e-76c9-e439-065b-949c6faa00b7,28.982421875,,2
0,cc239,GPU-02606074-9e44-1c9e-350a-f52159abf5f4,44.552734375,,1
0,cc239,GPU-c480e57f-b2ca-e919-d258-d39b1cd85fe1,44.552734375,,0
0,cc239,GPU-cba6eec9-bf7e-7519-f27f-42d78c421012,44.552734375,,3
